UNIX,Hour,Minute,TVOC,eCO2,H2,ETH,Temp,Humid
1598445606,12,40,0,400,14231,19146,24.01,59.35
1598445922,12,45,0,400,14213,19101,22.40,64.66
1598446201,12,50,52,481,14155,19008,24.13,59.34
1598446520,12,55,106,565,14087,18940,25.51,55.48
1598446839,13,0,77,497,14134,18960,24.04,59.52
1598447118,13,5,92,500,14139,18961,22.93,62.82
1598447437,13,10,47,414,14206,19030,22.89,63.18
1598447716,13,15,34,426,14191,19036,22.15,64.39
1598448034,13,20,24,400,14217,19049,21.64,65.55
1598448314,13,25,32,404,14210,19032,21.34,66.31
1598448632,13,30,28,400,14215,19058,21.07,66.83
1598448911,13,35,21,400,14228,19057,20.82,67.33
1598449230,13,40,14,400,14229,19047,20.60,67.67
1598449509,13,45,16,400,14226,19063,20.42,68.17
1598449828,13,50,8,400,14241,19076,20.27,68.60
1598450107,13,55,23,400,14220,19061,20.10,68.97
1598450426,14,0,22,400,14244,19070,19.91,69.35
1598450705,14,5,0,400,14242,19085,19.78,69.55
1598451024,14,10,3,400,14241,19082,19.64,69.61
1598451303,14,15,3,400,14240,19099,19.53,69.79
1598451622,14,20,0,400,14260,19109,19.36,70.30
1598451901,14,25,0,400,14259,19114,19.19,70.59
1598452220,14,30,0,400,14277,19115,19.13,70.62
1598452539,14,35,0,400,14262,19106,19.02,70.93
1598452818,14,40,0,400,14281,19127,18.94,70.98
1598453136,14,45,0,400,14282,19127,18.82,71.35
1598453415,14,50,0,400,14291,19137,18.71,71.55
1598453734,14,55,0,400,14286,19131,18.60,71.71
1598454013,15,0,0,400,14286,19144,18.50,72.03
1598454332,15,5,0,400,14307,19142,18.36,72.16
1598454611,15,10,0,400,14307,19170,18.28,72.49
1598454930,15,15,0,400,14329,19162,18.28,72.38
1598455209,15,20,0,400,14315,19160,18.13,72.63
1598455528,15,25,0,400,14318,19164,17.97,72.98
1598455807,15,30,0,400,14314,19149,17.99,73.02
1598456126,15,35,0,400,14339,19191,17.87,73.03
1598456405,15,40,0,400,14339,19185,17.75,73.37
1598456724,15,45,0,400,14325,19200,17.62,73.76
1598457003,15,50,0,400,14339,19196,17.56,73.55
1598457322,15,55,0,400,14359,19220,17.46,73.81
1598457601,16,0,0,400,14373,19220,17.38,74.00
1598457920,16,5,0,400,14352,19211,17.34,74.12
1598458239,16,10,0,400,14356,19214,17.32,74.11
1598458518,16,15,0,400,14362,19210,17.21,74.40
1598458837,16,20,0,400,14341,19219,17.15,75.00
1598459116,16,25,0,400,14363,19221,17.11,74.87
1598459435,16,30,0,400,14355,19227,17.03,75.19
1598459714,16,35,0,400,14353,19204,16.98,75.65
1598460033,16,40,0,400,14354,19216,17.00,75.32
1598460312,16,45,0,400,14347,19221,16.87,75.65
1598460631,16,50,0,400,14354,19225,16.81,75.57
1598460910,16,55,0,400,14371,19225,16.83,75.68
1598461229,17,0,0,400,14353,19228,16.74,75.72
1598461508,17,5,0,400,14349,19215,16.73,75.64
1598461827,17,10,0,400,14359,19242,16.74,75.79
1598462106,17,15,0,400,14360,19225,16.63,76.08
1598462425,17,20,0,400,14372,19230,16.59,76.20
1598462704,17,25,0,400,14370,19230,16.61,75.69
1598463022,17,30,0,400,14369,19241,16.54,75.73
1598463302,17,35,0,400,14367,19247,16.52,75.58
1598463620,17,40,0,400,14277,19163,19.36,67.59
1598463900,17,45,0,400,14290,19176,19.29,66.75
1598464218,17,50,0,400,14353,19212,17.65,72.02
1598464537,17,55,0,400,14345,19218,17.19,73.35
1598464816,18,0,0,400,14329,19218,16.87,74.38
1598465135,18,5,0,400,14346,19231,16.70,74.69
1598465414,18,10,0,400,14357,19229,16.54,74.92
1598465733,18,15,0,400,14351,19238,16.46,75.00
1598466012,18,20,0,400,14361,19251,16.49,74.82
1598466331,18,25,0,400,14372,19247,16.28,75.15
1598466610,18,30,0,400,14363,19249,16.25,75.20
1598466929,18,35,0,400,14377,19257,16.18,75.09
1598467208,18,40,0,400,14362,19248,16.12,75.37
1598467527,18,45,0,400,14376,19251,16.05,75.39
1598467806,18,50,0,400,14372,19266,16.08,75.16
1598468125,18,55,0,400,14368,19251,16.01,75.28
1598468404,19,0,0,400,14377,19264,15.99,75.01
1598468723,19,5,0,400,14370,19276,15.88,75.54
1598469002,19,10,0,400,14373,19266,15.89,75.42
1598469321,19,15,0,400,14383,19260,15.79,75.87
1598469600,19,20,0,400,14379,19261,15.85,75.26
1598469919,19,25,0,400,14379,19261,15.78,75.43
1598470238,19,30,0,400,14368,19265,15.75,75.47
1598470517,19,35,0,400,14382,19270,15.70,75.56
1598470836,19,40,0,400,14379,19278,15.65,75.47
1598471115,19,45,0,400,14384,19295,15.62,75.49
1598471434,19,50,0,400,14396,19297,15.55,75.70
1598471713,19,55,0,400,14393,19272,15.55,75.31
1598472032,20,0,0,400,14377,19271,16.88,72.42
1598472311,20,5,0,400,14291,19174,21.09,58.40
1598472630,20,10,17,400,14255,19129,22.91,53.88
1598472909,20,15,45,400,14230,19096,23.91,51.93
1598473228,20,20,25,400,14234,19119,22.08,56.80
1598473507,20,25,8,400,14275,19148,19.88,63.08
1598473826,20,30,0,400,14294,19180,19.56,65.10
1598474105,20,35,46,427,14203,19092,23.57,53.24
1598474424,20,40,73,436,14194,19063,24.26,51.48
1598474703,20,45,13,400,14258,19142,21.02,60.27
1598475022,20,50,7,400,14274,19165,19.56,64.77
1598475301,20,55,26,400,14230,19114,22.12,57.83
1598475620,21,0,72,452,14182,19051,24.98,50.19
1598475939,21,5,57,407,14211,19080,22.14,57.90
1598476218,21,10,25,400,14244,19131,20.52,62.66
1598476537,21,15,7,400,14280,19150,20.00,64.34
1598476816,21,20,80,450,14177,19039,24.39,52.20
1598477134,21,25,84,458,14173,19046,24.43,52.38
1598477414,21,30,41,400,14224,19104,21.60,60.85
1598477732,21,35,35,400,14249,19122,20.67,63.38
1598478011,21,40,39,407,14216,19102,21.88,60.87
1598478330,21,45,101,536,14112,19002,26.26,49.11
1598478609,21,50,102,499,14145,19015,23.99,54.85
1598478928,21,55,81,451,14166,19043,21.85,61.10
1598479207,22,0,41,400,14227,19113,21.37,62.91
1598479526,22,5,43,415,14199,19102,22.04,61.30
1598479805,22,10,128,587,14079,18975,26.40,49.83
1598480124,22,15,123,560,14103,18976,24.66,54.27
1598480403,22,20,92,498,14145,19033,22.62,60.49
1598480722,22,25,0,400,14602,19461,19.64,56.93
1598481001,22,30,0,400,14615,19485,18.99,57.46
1598481320,22,35,0,400,14627,19500,18.44,57.95
1598481639,22,40,0,400,14642,19502,18.27,57.81
1598481918,22,45,0,400,14621,19472,18.09,58.62
1598482236,22,50,0,400,14642,19483,17.87,58.82
1598482515,22,55,0,400,14620,19485,17.76,58.78
1598482834,23,0,0,400,14631,19474,17.63,59.42
1598483113,23,5,0,400,14620,19473,17.75,59.15
1598483432,23,10,0,400,14649,19503,17.79,58.66
1598483711,23,15,0,400,14658,19501,17.82,58.39
1598484030,23,20,0,400,14350,19330,17.63,58.38
1598484309,23,25,0,400,14230,19250,17.55,57.98
1598484628,23,30,0,470,14167,19178,17.42,58.78
1598484907,23,35,0,400,14247,19235,17.29,59.05
1598485226,23,40,0,400,14298,19286,17.24,59.22
1598485505,23,45,0,400,14352,19317,17.32,58.72
1598485824,23,50,0,400,14437,19392,17.35,58.30
1598486103,23,55,0,400,14499,19468,17.35,57.84
